Time(s),CH1V,CH2V,CH3V
-1.000000e-02,3.506667e-02,2.059733e+00,2.029733e+00
-9.980000e-03,3.506667e-02,2.093467e+00,2.034267e+00
-9.960000e-03,3.733333e-02,2.109333e+00,2.077067e+00
-9.940000e-03,3.960000e-02,2.102533e+00,2.063600e+00
-9.920000e-03,3.506667e-02,2.109333e+00,2.070267e+00
-9.900000e-03,3.506667e-02,2.059733e+00,2.029733e+00
-9.880000e-03,3.280000e-02,2.118267e+00,2.077067e+00
-9.860000e-03,2.600000e-02,2.098000e+00,2.047733e+00
-9.840000e-03,4.626667e-02,2.100267e+00,2.056800e+00
-9.820000e-03,3.506667e-02,2.104800e+00,2.077067e+00
-9.800000e-03,3.280000e-02,2.098000e+00,2.036533e+00
-9.780000e-03,2.373333e-02,2.118267e+00,2.061333e+00
-9.760000e-03,3.506667e-02,2.091333e+00,2.041067e+00
-9.740000e-03,4.173333e-02,2.098000e+00,2.054533e+00
-9.720000e-03,2.826667e-02,2.102533e+00,2.070267e+00
-9.700000e-03,2.826667e-02,2.251333e+00,2.133467e+00
-9.680000e-03,3.506667e-02,2.102533e+00,2.072533e+00
-9.660000e-03,4.173333e-02,2.091333e+00,2.041067e+00
-9.640000e-03,2.826667e-02,2.084533e+00,2.050000e+00
-9.620000e-03,2.600000e-02,2.102533e+00,2.059067e+00
-9.600000e-03,2.826667e-02,2.240000e+00,2.133467e+00
-9.580000e-03,3.280000e-02,2.098000e+00,9.748000e-01
-9.560000e-03,3.733333e-02,2.077733e+00,5.149333e-01
-9.540000e-03,2.600000e-02,2.098000e+00,2.466667e-01
-9.520000e-03,4.626667e-02,2.113867e+00,1.294667e-01
-9.500000e-03,1.706667e-02,2.089067e+00,6.640000e-02
-9.480000e-03,2.826667e-02,2.070933e+00,2.800000e-02
-9.460000e-03,3.280000e-02,2.080000e+00,1.000000e-02
-9.440000e-03,2.826667e-02,2.111600e+00,-3.466667e-03
-9.420000e-03,3.960000e-02,2.116000e+00,7.733333e-03
-9.400000e-03,3.960000e-02,2.129600e+00,1.680000e-02
-9.380000e-03,2.826667e-02,2.057467e+00,-1.253333e-02
-9.360000e-03,3.280000e-02,2.068667e+00,7.733333e-03
-9.340000e-03,3.506667e-02,2.100267e+00,1.226667e-02
-9.320000e-03,3.280000e-02,2.109333e+00,-1.200000e-03
-9.300000e-03,5.306667e-02,2.129600e+00,-5.733334e-03
-9.280000e-03,2.600000e-02,2.089067e+00,-1.200000e-03
-9.260000e-03,3.280000e-02,2.080000e+00,-8.000000e-03
-9.240000e-03,6.653333e-02,2.109333e+00,3.480000e-02
-9.220000e-03,2.826667e-02,2.107067e+00,9.333334e-04
-9.200000e-03,1.706667e-02,2.113867e+00,1.226667e-02
-9.180000e-03,2.826667e-02,2.098000e+00,-1.933333e-02
-9.160000e-03,3.053333e-02,2.080000e+00,1.680000e-02
-9.140000e-03,3.506667e-02,2.098000e+00,9.333334e-04
-9.120000e-03,4.173333e-02,2.100267e+00,-1.026667e-02
-9.100000e-03,1.706667e-02,2.102533e+00,-1.026667e-02
-9.080000e-03,2.826667e-02,2.095733e+00,1.000000e-02
-9.060000e-03,3.960000e-02,2.070933e+00,1.680000e-02
-9.040000e-03,3.280000e-02,2.095733e+00,-1.480000e-02
-9.020000e-03,3.280000e-02,2.102533e+00,3.200000e-03
-9.000000e-03,3.280000e-02,2.098000e+00,-1.253333e-02
-8.980000e-03,1.070933e+00,2.098000e+00,9.333334e-04
-8.960000e-03,1.944800e+00,2.082267e+00,1.000000e-02
-8.940000e-03,2.091200e+00,2.107067e+00,-1.200000e-03
-8.920000e-03,2.102400e+00,2.100267e+00,-1.253333e-02
-8.900000e-03,2.095733e+00,2.095733e+00,-8.000000e-03
-8.880000e-03,2.098000e+00,2.086800e+00,-8.000000e-03
-8.860000e-03,2.113733e+00,2.102533e+00,9.333334e-04
-8.840000e-03,2.111467e+00,2.091333e+00,-5.733334e-03
-8.820000e-03,2.113733e+00,2.107067e+00,9.333334e-04
-8.800000e-03,2.104667e+00,2.098000e+00,-2.826667e-02
-8.780000e-03,2.100133e+00,2.080000e+00,-1.026667e-02
-8.760000e-03,2.127200e+00,2.102533e+00,-8.000000e-03
-8.740000e-03,2.113733e+00,2.091333e+00,-1.480000e-02
-8.720000e-03,2.109200e+00,2.098000e+00,-8.000000e-03
-8.700000e-03,2.091200e+00,2.098000e+00,-8.000000e-03
-8.680000e-03,2.102400e+00,2.100267e+00,-8.000000e-03
-8.660000e-03,2.104667e+00,2.111600e+00,9.333334e-04
-8.640000e-03,2.104667e+00,2.098000e+00,-1.480000e-02
-8.620000e-03,2.093467e+00,2.102533e+00,3.200000e-03
-8.600000e-03,2.086667e+00,2.095733e+00,1.226667e-02
-8.580000e-03,2.091200e+00,2.082267e+00,-3.466667e-03
-8.560000e-03,2.113733e+00,2.111600e+00,1.226667e-02
-8.540000e-03,2.116000e+00,2.093467e+00,-1.480000e-02
-8.520000e-03,2.109200e+00,2.093467e+00,5.466667e-03
-8.500000e-03,2.082133e+00,2.075467e+00,-1.480000e-02
-8.480000e-03,2.095733e+00,2.089067e+00,3.200000e-03
-8.460000e-03,2.116000e+00,2.113867e+00,-3.466667e-03
-8.440000e-03,2.111467e+00,2.107067e+00,-1.200000e-03
-8.420000e-03,2.106933e+00,2.107067e+00,9.333334e-04
-8.400000e-03,2.077733e+00,2.057467e+00,9.333334e-04
