Time(s),CH1V,CH2V,CH3V
-1.000000e-02,3.053333e-02,3.089867e+00,3.046400e+00
-9.980000e-03,3.053333e-02,3.089867e+00,3.041867e+00
-9.960000e-03,3.960000e-02,3.092133e+00,3.046400e+00
-9.940000e-03,3.506667e-02,3.089867e+00,3.046400e+00
-9.920000e-03,4.853334e-02,3.092133e+00,3.053067e+00
-9.900000e-03,4.173333e-02,3.085333e+00,3.046400e+00
-9.880000e-03,2.826667e-02,3.092133e+00,3.030533e+00
-9.860000e-03,3.506667e-02,3.085333e+00,3.041867e+00
-9.840000e-03,3.053333e-02,3.089867e+00,3.046400e+00
-9.820000e-03,4.400000e-02,3.083067e+00,3.035067e+00
-9.800000e-03,3.280000e-02,3.080800e+00,3.041867e+00
-9.780000e-03,3.053333e-02,3.094400e+00,3.035067e+00
-9.760000e-03,3.280000e-02,3.071867e+00,3.050933e+00
-9.740000e-03,4.400000e-02,3.096667e+00,3.057600e+00
-9.720000e-03,3.280000e-02,3.080800e+00,3.044133e+00
-9.700000e-03,1.933333e-02,3.085333e+00,3.041867e+00
-9.680000e-03,3.733333e-02,3.085333e+00,3.053067e+00
-9.660000e-03,2.600000e-02,3.096667e+00,3.050933e+00
-9.640000e-03,2.146667e-02,3.087600e+00,3.046400e+00
-9.620000e-03,3.280000e-02,3.069600e+00,2.171733e+00
-9.600000e-03,3.053333e-02,3.083067e+00,1.148400e+00
-9.580000e-03,3.506667e-02,3.085333e+00,6.050667e-01
-9.560000e-03,2.600000e-02,3.083067e+00,3.256000e-01
-9.540000e-03,3.280000e-02,3.078533e+00,1.700000e-01
-9.520000e-03,1.933333e-02,3.083067e+00,7.760000e-02
-9.500000e-03,3.053333e-02,3.092133e+00,3.480000e-02
-9.480000e-03,3.506667e-02,3.083067e+00,7.733333e-03
-9.460000e-03,3.280000e-02,3.080800e+00,7.733333e-03
-9.440000e-03,3.280000e-02,3.083067e+00,9.333334e-04
-9.420000e-03,3.053333e-02,3.080800e+00,7.733333e-03
-9.400000e-03,4.400000e-02,3.092133e+00,-1.026667e-02
-9.380000e-03,3.506667e-02,3.094400e+00,1.000000e-02
-9.360000e-03,2.373333e-02,3.092133e+00,1.680000e-02
-9.340000e-03,3.506667e-02,3.085333e+00,-8.000000e-03
-9.320000e-03,3.960000e-02,3.076400e+00,-8.000000e-03
-9.300000e-03,2.826667e-02,3.089867e+00,-1.706667e-02
-9.280000e-03,8.680000e-02,3.114667e+00,1.680000e-02
-9.260000e-03,1.026667e-02,3.080800e+00,5.466667e-03
-9.240000e-03,3.960000e-02,3.092133e+00,1.000000e-02
-9.220000e-03,2.826667e-02,3.085333e+00,1.226667e-02
-9.200000e-03,4.626667e-02,3.080800e+00,-1.480000e-02
-9.180000e-03,3.280000e-02,3.103333e+00,5.466667e-03
-9.160000e-03,3.506667e-02,3.080800e+00,3.200000e-03
-9.140000e-03,2.373333e-02,3.087600e+00,1.226667e-02
-9.120000e-03,2.373333e-02,3.092133e+00,3.200000e-03
-9.100000e-03,3.506667e-02,3.087600e+00,-1.200000e-03
-9.080000e-03,1.253333e-02,3.089867e+00,5.466667e-03
-9.060000e-03,2.826667e-02,3.085333e+00,-5.733334e-03
-9.040000e-03,3.280000e-02,3.085333e+00,1.000000e-02
-9.020000e-03,2.826667e-02,3.085333e+00,9.333334e-04
-9.000000e-03,4.173333e-02,3.074133e+00,-1.933333e-02
-8.980000e-03,3.998667e-01,3.089867e+00,9.333334e-04
-8.960000e-03,1.573200e+00,3.076400e+00,9.333334e-04
-8.940000e-03,2.212800e+00,3.085333e+00,5.466667e-03
-8.920000e-03,2.602400e+00,3.078533e+00,-5.733334e-03
-8.900000e-03,2.814133e+00,3.089867e+00,1.000000e-02
-8.880000e-03,2.917733e+00,3.092133e+00,1.226667e-02
-8.860000e-03,3.003333e+00,3.089867e+00,5.466667e-03
-8.840000e-03,3.039333e+00,3.089867e+00,-3.466667e-03
-8.820000e-03,3.124933e+00,2.932133e+00,5.053334e-02
-8.800000e-03,3.073067e+00,3.087600e+00,9.333334e-04
-8.780000e-03,3.082133e+00,3.089867e+00,-1.480000e-02
-8.760000e-03,3.095600e+00,3.089867e+00,-1.200000e-03
-8.740000e-03,3.093333e+00,3.085333e+00,-1.026667e-02
-8.720000e-03,3.082133e+00,3.094400e+00,1.226667e-02
-8.700000e-03,3.079867e+00,3.092133e+00,3.200000e-03
-8.680000e-03,3.084400e+00,3.085333e+00,3.200000e-03
-8.660000e-03,3.100133e+00,3.085333e+00,-3.466667e-03
-8.640000e-03,3.109067e+00,3.094400e+00,-1.026667e-02
-8.620000e-03,3.091067e+00,3.087600e+00,-1.200000e-03
-8.600000e-03,3.088800e+00,3.089867e+00,-1.480000e-02
-8.580000e-03,3.106933e+00,3.083067e+00,7.733333e-03
-8.560000e-03,3.093333e+00,3.078533e+00,-1.480000e-02
-8.540000e-03,3.093333e+00,3.076400e+00,-1.480000e-02
-8.520000e-03,3.093333e+00,3.092133e+00,1.000000e-02
-8.500000e-03,3.091067e+00,3.094400e+00,1.453333e-02
-8.480000e-03,3.021333e+00,3.031200e+00,-4.640000e-02
-8.460000e-03,3.091067e+00,3.080800e+00,9.333334e-04
-8.440000e-03,3.086667e+00,3.087600e+00,1.000000e-02
-8.420000e-03,3.097867e+00,3.089867e+00,-1.480000e-02
-8.400000e-03,3.082133e+00,3.089867e+00,1.000000e-02
-8.380000e-03,3.079867e+00,3.071867e+00,5.466667e-03
-8.360000e-03,3.097867e+00,3.089867e+00,-1.933333e-02
-8.340000e-03,3.079867e+00,3.085333e+00,-8.000000e-03
-8.320000e-03,3.086667e+00,3.080800e+00,-1.480000e-02
-8.300000e-03,3.091067e+00,3.092133e+00,3.200000e-03
-8.280000e-03,3.091067e+00,3.080800e+00,-1.200000e-03
-8.260000e-03,3.091067e+00,3.096667e+00,1.000000e-02
-8.240000e-03,3.102400e+00,3.083067e+00,-3.466667e-03
-8.220000e-03,3.091067e+00,3.083067e+00,1.226667e-02
-8.200000e-03,3.093333e+00,3.085333e+00,-1.480000e-02
-8.180000e-03,3.102400e+00,3.085333e+00,-1.480000e-02
-8.160000e-03,3.093333e+00,3.080800e+00,9.333334e-04
-8.140000e-03,3.088800e+00,2.409067e+00,-1.200000e-03
-8.120000e-03,3.082133e+00,1.293333e+00,1.000000e-02
-8.100000e-03,3.095600e+00,7.117333e-01,-1.706667e-02
-8.080000e-03,3.093333e+00,3.870667e-01,1.226667e-02
-8.060000e-03,3.086667e+00,2.293333e-01,-1.200000e-03
-8.040000e-03,3.093333e+00,1.324000e-01,-1.480000e-02
-8.020000e-03,3.086667e+00,8.506667e-02,3.200000e-03
-8.000000e-03,3.104667e+00,6.706667e-02,-8.000000e-03
-7.980000e-03,3.084400e+00,4.453333e-02,9.333334e-04
-7.960000e-03,3.095600e+00,3.546667e-02,5.466667e-03
-7.940000e-03,3.100133e+00,4.000000e-02,-1.706667e-02
-7.920000e-03,3.097867e+00,2.866667e-02,-1.200000e-03
-7.900000e-03,3.086667e+00,2.866667e-02,1.000000e-02
-7.880000e-03,3.088800e+00,2.866667e-02,9.333334e-04
-7.860000e-03,3.093333e+00,3.546667e-02,5.466667e-03
-7.840000e-03,3.102400e+00,2.413333e-02,-5.733334e-03
-7.820000e-03,3.091067e+00,2.200000e-02,5.466667e-03
-7.800000e-03,3.091067e+00,1.520000e-02,5.466667e-03
-7.780000e-03,3.086667e+00,1.746667e-02,5.466667e-03
-7.760000e-03,3.109067e+00,1.293333e-02,5.466667e-03
-7.740000e-03,3.093333e+00,2.200000e-02,1.000000e-02
-7.720000e-03,3.102400e+00,3.320000e-02,1.906667e-02
-7.700000e-03,3.091067e+00,2.200000e-02,5.466667e-03
-7.680000e-03,3.109067e+00,2.413333e-02,-1.253333e-02
-7.660000e-03,3.091067e+00,2.200000e-02,1.680000e-02
-7.640000e-03,3.088800e+00,2.200000e-02,-3.466667e-03
-7.620000e-03,3.097867e+00,3.320000e-02,-8.000000e-03
-7.600000e-03,3.093333e+00,2.200000e-02,1.226667e-02
-7.580000e-03,3.088800e+00,3.093333e-02,-1.480000e-02
