Time(s),CH1V,CH2V,CH3V
-1.000000e-02,5.733334e-02,4.613600e+00,4.538933e+00
-9.980000e-03,3.573333e-02,4.588000e+00,4.548533e+00
-9.960000e-03,3.573333e-02,4.583734e+00,4.520267e+00
-9.940000e-03,4.880000e-02,4.588000e+00,4.506134e+00
-9.920000e-03,4.026667e-02,4.596533e+00,4.520267e+00
-9.900000e-03,4.880000e-02,4.609334e+00,4.520267e+00
-9.880000e-03,4.880000e-02,4.605067e+00,4.553067e+00
-9.860000e-03,4.880000e-02,4.596533e+00,4.548533e+00
-9.840000e-03,4.026667e-02,4.600800e+00,4.529600e+00
-9.820000e-03,4.453333e-02,4.575200e+00,4.520267e+00
-9.800000e-03,4.026667e-02,4.609334e+00,4.538933e+00
-9.780000e-03,4.026667e-02,4.600800e+00,4.572000e+00
-9.760000e-03,2.720000e-02,4.605067e+00,4.543734e+00
-9.740000e-03,5.733334e-02,4.583734e+00,4.534400e+00
-9.720000e-03,4.026667e-02,4.605067e+00,4.538933e+00
-9.700000e-03,4.453333e-02,4.609334e+00,4.572000e+00
-9.680000e-03,2.720000e-02,4.596533e+00,4.562667e+00
-9.660000e-03,3.146667e-02,4.596533e+00,4.562667e+00
-9.640000e-03,4.880000e-02,4.596533e+00,4.553067e+00
-9.620000e-03,6.186667e-02,4.600800e+00,4.538933e+00
-9.600000e-03,4.026667e-02,4.579467e+00,-2.880000e-02
-9.580000e-03,4.026667e-02,4.579467e+00,8.800000e-03
-9.560000e-03,3.573333e-02,4.588000e+00,-5.333333e-04
-9.540000e-03,5.306667e-02,4.605067e+00,-5.066667e-03
-9.520000e-03,3.573333e-02,4.605067e+00,-5.066667e-03
-9.500000e-03,3.573333e-02,4.583734e+00,-5.066667e-03
-9.480000e-03,4.026667e-02,4.605067e+00,-5.333333e-04
-9.460000e-03,6.186667e-02,4.600800e+00,-5.706667e-02
-9.440000e-03,7.040000e-02,4.609334e+00,-5.706667e-02
-9.420000e-03,3.573333e-02,4.583734e+00,-2.880000e-02
-9.400000e-03,1.866667e-02,4.596533e+00,-2.400000e-02
-9.380000e-03,5.600000e-03,4.588000e+00,-5.333333e-04
-9.360000e-03,4.453333e-02,4.600800e+00,-1.920000e-02
-9.340000e-03,4.880000e-02,4.588000e+00,-1.920000e-02
-9.320000e-03,4.026667e-02,4.592267e+00,-1.920000e-02
-9.300000e-03,1.866667e-02,4.596533e+00,-1.466667e-02
-9.280000e-03,3.573333e-02,4.588000e+00,-1.920000e-02
-9.260000e-03,2.720000e-02,4.600800e+00,-5.333333e-04
-9.240000e-03,4.880000e-02,4.622400e+00,-5.333333e-04
-9.220000e-03,3.573333e-02,4.609334e+00,-1.920000e-02
-9.200000e-03,2.293333e-02,4.609334e+00,-2.400000e-02
-9.180000e-03,5.733334e-02,4.609334e+00,-1.920000e-02
-9.160000e-03,5.733334e-02,4.596533e+00,-2.880000e-02
-9.140000e-03,4.026667e-02,4.605067e+00,-1.920000e-02
-9.120000e-03,4.026667e-02,4.596533e+00,-1.920000e-02
-9.100000e-03,3.146667e-02,4.600800e+00,4.266667e-03
-9.080000e-03,2.720000e-02,4.605067e+00,8.800000e-03
