Time(s),CH1V,CH2V,CH3V
-1.000000e-02,1.931333e+00,1.782400e+00,1.231733e+00
-9.980000e-03,1.904267e+00,1.800533e+00,1.186667e+00
-9.960000e-03,1.947067e+00,1.818533e+00,1.220533e+00
-9.940000e-03,1.899733e+00,1.784667e+00,1.234000e+00
-9.920000e-03,1.874933e+00,1.847867e+00,1.216000e+00
-9.900000e-03,1.859200e+00,1.863600e+00,1.179867e+00
-9.880000e-03,1.897467e+00,1.874933e+00,1.213733e+00
-9.860000e-03,1.913333e+00,1.861333e+00,1.236267e+00
-9.840000e-03,1.868267e+00,1.856800e+00,1.209200e+00
-9.820000e-03,1.809733e+00,1.859067e+00,1.168667e+00
-9.800000e-03,1.818667e+00,1.879333e+00,1.202400e+00
-9.780000e-03,1.859200e+00,1.949200e+00,1.211467e+00
-9.760000e-03,1.866000e+00,1.892933e+00,1.256533e+00
-9.740000e-03,1.814133e+00,1.920000e+00,1.193467e+00
-9.720000e-03,1.771333e+00,1.892933e+00,1.152933e+00
-9.700000e-03,1.769200e+00,1.920000e+00,1.202400e+00
-9.680000e-03,1.893067e+00,2.023600e+00,1.279067e+00
-9.660000e-03,1.798400e+00,1.974000e+00,1.285867e+00
-9.640000e-03,1.751067e+00,1.976267e+00,1.198000e+00
-9.620000e-03,1.726400e+00,1.947067e+00,1.188933e+00
-9.600000e-03,1.649733e+00,1.917733e+00,1.191200e+00
-9.580000e-03,1.816400e+00,2.075467e+00,1.290400e+00
-9.560000e-03,1.721867e+00,2.010133e+00,1.236267e+00
-9.540000e-03,1.724133e+00,1.983067e+00,1.195733e+00
-9.520000e-03,1.694800e+00,2.012400e+00,1.261067e+00
-9.500000e-03,1.609200e+00,1.969600e+00,1.209200e+00
-9.480000e-03,1.726400e+00,2.064267e+00,1.306133e+00
-9.460000e-03,1.690267e+00,1.994400e+00,1.213733e+00
-9.440000e-03,1.645333e+00,2.001067e+00,1.220533e+00
-9.420000e-03,1.663333e+00,2.041733e+00,1.335467e+00
-9.400000e-03,1.580000e+00,1.987600e+00,1.231733e+00
-9.380000e-03,1.649733e+00,2.073200e+00,1.326400e+00
-9.360000e-03,1.658800e+00,2.030400e+00,1.261067e+00
-9.340000e-03,1.620533e+00,2.059733e+00,1.263333e+00
-9.320000e-03,1.609200e+00,2.075467e+00,1.330933e+00
-9.300000e-03,1.593467e+00,2.057467e+00,1.283600e+00
-9.280000e-03,1.562000e+00,2.012400e+00,1.301600e+00
-9.260000e-03,1.501200e+00,2.025867e+00,1.263333e+00
-9.240000e-03,1.552933e+00,2.080000e+00,1.353467e+00
-9.220000e-03,1.548400e+00,2.120533e+00,1.403067e+00
-9.200000e-03,1.431333e+00,2.019200e+00,1.378267e+00
-9.180000e-03,1.467333e+00,1.949200e+00,1.321867e+00
-9.160000e-03,1.496667e+00,1.985333e+00,1.310667e+00
-9.140000e-03,1.505600e+00,2.034933e+00,1.391867e+00
-9.120000e-03,1.534933e+00,2.080000e+00,1.475200e+00
-9.100000e-03,1.489867e+00,2.095733e+00,1.468400e+00
-9.080000e-03,1.359200e+00,1.942533e+00,1.396267e+00
-9.060000e-03,1.395333e+00,2.003333e+00,1.360267e+00
-9.040000e-03,1.447067e+00,2.016933e+00,1.459467e+00
-9.020000e-03,1.474133e+00,2.129600e+00,1.551867e+00
-9.000000e-03,1.399733e+00,2.039467e+00,1.513600e+00
-8.980000e-03,1.305200e+00,1.951467e+00,1.459467e+00
-8.960000e-03,1.307467e+00,1.985333e+00,1.396267e+00
-8.940000e-03,1.352533e+00,2.010133e+00,1.520267e+00
-8.920000e-03,1.440400e+00,2.059733e+00,1.612667e+00
-8.900000e-03,1.336800e+00,2.001067e+00,1.524800e+00
-8.880000e-03,1.368267e+00,1.951467e+00,1.572133e+00
-8.860000e-03,1.334533e+00,1.992133e+00,1.472933e+00
-8.840000e-03,1.352533e+00,2.007867e+00,1.558667e+00
