Time(s),CH1V,CH2V,CH3V
-1.000000e-02,4.089333e-01,1.507467e+00,1.222800e+00
-9.980000e-03,3.413333e-01,1.417333e+00,1.164133e+00
-9.960000e-03,3.773333e-01,1.457867e+00,1.247600e+00
-9.940000e-03,3.886667e-01,1.478133e+00,1.326400e+00
-9.920000e-03,3.502667e-01,1.419467e+00,1.276800e+00
-9.900000e-03,4.110667e-01,1.455600e+00,1.335467e+00
-9.880000e-03,3.684000e-01,1.356400e+00,1.303867e+00
-9.860000e-03,3.796000e-01,1.378933e+00,1.364800e+00
-9.840000e-03,3.796000e-01,1.385733e+00,1.403067e+00
-9.820000e-03,3.436000e-01,1.297867e+00,1.373733e+00
-9.800000e-03,4.110667e-01,1.376667e+00,1.425600e+00
-9.780000e-03,3.458667e-01,1.254933e+00,1.364800e+00
-9.760000e-03,3.593333e-01,1.264000e+00,1.427867e+00
-9.740000e-03,3.661333e-01,1.266267e+00,1.466133e+00
-9.720000e-03,3.300000e-01,1.144533e+00,1.427867e+00
-9.700000e-03,3.908000e-01,1.232400e+00,1.482000e+00
-9.680000e-03,3.481333e-01,1.115200e+00,1.418800e+00
-9.660000e-03,3.616000e-01,1.128800e+00,1.477467e+00
-9.640000e-03,3.502667e-01,1.106133e+00,1.493200e+00
-9.620000e-03,3.142667e-01,9.912000e-01,1.445867e+00
-9.600000e-03,4.133333e-01,1.133200e+00,1.504533e+00
-9.580000e-03,3.345333e-01,9.574667e-01,1.436933e+00
-9.560000e-03,3.481333e-01,9.732000e-01,1.490933e+00
-9.540000e-03,3.502667e-01,9.618667e-01,1.527067e+00
-9.520000e-03,3.233333e-01,8.402667e-01,1.464000e+00
-9.500000e-03,3.728000e-01,9.326667e-01,1.513600e+00
-9.480000e-03,3.188000e-01,8.198667e-01,1.466133e+00
-9.460000e-03,3.436000e-01,8.086666e-01,1.488800e+00
-9.440000e-03,3.481333e-01,8.086666e-01,1.527067e+00
-9.420000e-03,3.278667e-01,7.185333e-01,1.477467e+00
-9.400000e-03,3.796000e-01,7.748000e-01,1.502267e+00
-9.380000e-03,3.300000e-01,6.778667e-01,1.439200e+00
-9.360000e-03,3.705333e-01,6.712000e-01,1.479733e+00
-9.340000e-03,3.841333e-01,6.712000e-01,1.527067e+00
-9.320000e-03,3.322667e-01,5.720000e-01,1.436933e+00
-9.300000e-03,4.336000e-01,6.396000e-01,1.490933e+00
-9.280000e-03,3.886667e-01,5.606667e-01,1.403067e+00
-9.260000e-03,4.089333e-01,5.449333e-01,1.452667e+00
-9.240000e-03,4.201334e-01,5.290667e-01,1.495467e+00
-9.220000e-03,3.593333e-01,4.569333e-01,1.414400e+00
-9.200000e-03,4.629333e-01,5.246667e-01,1.454933e+00
-9.180000e-03,4.224000e-01,4.705333e-01,1.378267e+00
-9.160000e-03,4.561333e-01,4.796000e-01,1.448133e+00
-9.140000e-03,4.877333e-01,4.592000e-01,1.495467e+00
-9.120000e-03,4.292000e-01,3.984000e-01,1.421067e+00
-9.100000e-03,5.485333e-01,4.569333e-01,1.464000e+00
-9.080000e-03,4.809333e-01,3.916000e-01,1.400800e+00
-9.060000e-03,5.440000e-01,4.209333e-01,1.427867e+00
-9.040000e-03,6.048000e-01,4.052000e-01,1.486533e+00
-9.020000e-03,5.125334e-01,3.442667e-01,1.418800e+00
-9.000000e-03,6.656000e-01,4.006667e-01,1.436933e+00
-8.980000e-03,6.182667e-01,3.690667e-01,1.407600e+00
-8.960000e-03,6.701334e-01,3.758667e-01,1.466133e+00
-8.940000e-03,7.241333e-01,3.622667e-01,1.493200e+00
-8.920000e-03,6.746667e-01,3.262667e-01,1.432400e+00
-8.900000e-03,8.074667e-01,3.804000e-01,1.490933e+00
-8.880000e-03,7.580000e-01,3.262667e-01,1.439200e+00
-8.860000e-03,8.142667e-01,3.442667e-01,1.475200e+00
-8.840000e-03,8.682667e-01,3.488000e-01,1.518000e+00
-8.820000e-03,8.300000e-01,3.037333e-01,1.448133e+00
-8.800000e-03,9.449334e-01,3.622667e-01,1.488800e+00
-8.780000e-03,8.773333e-01,3.262667e-01,1.445867e+00
-8.760000e-03,9.584000e-01,3.330667e-01,1.475200e+00
-8.740000e-03,1.030400e+00,3.488000e-01,1.513600e+00
-8.720000e-03,9.764000e-01,2.992000e-01,1.445867e+00
-8.700000e-03,1.082267e+00,3.713333e-01,1.497733e+00
-8.680000e-03,1.014667e+00,3.172000e-01,1.432400e+00
-8.660000e-03,1.098000e+00,3.420000e-01,1.493200e+00
-8.640000e-03,1.145333e+00,3.465333e-01,1.504533e+00
-8.620000e-03,1.127333e+00,3.105333e-01,1.459467e+00
-8.600000e-03,1.219600e+00,3.961333e-01,1.493200e+00
-8.580000e-03,1.140800e+00,3.465333e-01,1.398533e+00
-8.560000e-03,1.217333e+00,3.736000e-01,1.459467e+00
-8.540000e-03,1.260133e+00,3.533333e-01,1.457200e+00
-8.520000e-03,1.257867e+00,3.374667e-01,1.427867e+00
-8.500000e-03,1.336800e+00,4.096000e-01,1.457200e+00
-8.480000e-03,1.269200e+00,3.736000e-01,1.369333e+00
-8.460000e-03,1.348000e+00,3.870667e-01,1.445867e+00
-8.440000e-03,1.413333e+00,3.848000e-01,1.434667e+00
-8.420000e-03,1.363733e+00,3.442667e-01,1.344533e+00
-8.400000e-03,1.426800e+00,4.029333e-01,1.407600e+00
-8.380000e-03,1.370533e+00,3.510667e-01,1.288133e+00
-8.360000e-03,1.424533e+00,3.668000e-01,1.337733e+00
-8.340000e-03,1.496667e+00,3.690667e-01,1.319733e+00
-8.320000e-03,1.451600e+00,3.285334e-01,1.234000e+00
-8.300000e-03,1.494400e+00,3.916000e-01,1.308400e+00
