Time(s),CH1V,CH2V,CH3V
-1.000000e-02,6.364000e-01,2.156667e+00,2.311467e+00
-9.980000e-03,5.485333e-01,1.967333e+00,2.207867e+00
-9.960000e-03,5.800000e-01,1.983067e+00,2.311467e+00
-9.940000e-03,5.958667e-01,2.003333e+00,2.381333e+00
-9.920000e-03,5.305333e-01,1.807200e+00,2.320533e+00
-9.900000e-03,6.296000e-01,1.942533e+00,2.390400e+00
-9.880000e-03,5.552000e-01,1.768933e+00,2.298000e+00
-9.860000e-03,5.665333e-01,1.771200e+00,2.392667e+00
-9.840000e-03,5.710667e-01,1.773467e+00,2.437733e+00
-9.820000e-03,5.057333e-01,1.552533e+00,2.358800e+00
-9.800000e-03,6.048000e-01,1.719333e+00,2.428667e+00
-9.780000e-03,5.260000e-01,1.541200e+00,2.345333e+00
-9.760000e-03,5.440000e-01,1.536800e+00,2.424267e+00
-9.740000e-03,5.688000e-01,1.534533e+00,2.482800e+00
-9.720000e-03,5.034667e-01,1.354133e+00,2.383600e+00
-9.700000e-03,5.980000e-01,1.489467e+00,2.449067e+00
-9.680000e-03,5.574667e-01,1.322533e+00,2.354400e+00
-9.660000e-03,5.485333e-01,1.304533e+00,2.433200e+00
-9.640000e-03,5.688000e-01,1.302267e+00,2.482800e+00
-9.620000e-03,5.102667e-01,1.146800e+00,2.383600e+00
-9.600000e-03,6.273333e-01,1.243733e+00,2.467067e+00
-9.580000e-03,5.665333e-01,1.101733e+00,2.331733e+00
-9.560000e-03,5.777333e-01,1.076933e+00,2.412933e+00
-9.540000e-03,6.002667e-01,1.076933e+00,2.451333e+00
-9.520000e-03,5.305333e-01,9.438667e-01,2.347600e+00
-9.500000e-03,6.813334e-01,1.011467e+00,2.417467e+00
-9.480000e-03,5.980000e-01,8.853334e-01,2.295733e+00
-9.460000e-03,6.273333e-01,8.717334e-01,2.370133e+00
-9.440000e-03,6.769333e-01,8.650666e-01,2.428667e+00
-9.420000e-03,5.913333e-01,7.590667e-01,2.318267e+00
-9.400000e-03,7.241333e-01,8.514667e-01,2.376933e+00
-9.380000e-03,6.498667e-01,7.568000e-01,2.261867e+00
-9.360000e-03,6.993334e-01,7.252000e-01,2.349867e+00
-9.340000e-03,7.692000e-01,7.320000e-01,2.417467e+00
-9.320000e-03,6.746667e-01,6.530667e-01,2.300267e+00
-9.300000e-03,8.796000e-01,7.365333e-01,2.383600e+00
-9.280000e-03,7.624000e-01,6.553333e-01,2.255200e+00
-9.260000e-03,8.480000e-01,6.441333e-01,2.358800e+00
-9.240000e-03,9.336000e-01,6.464000e-01,2.401733e+00
-9.220000e-03,8.254667e-01,5.606667e-01,2.295733e+00
-9.200000e-03,1.075467e+00,6.621333e-01,2.394933e+00
-9.180000e-03,9.470667e-01,5.900000e-01,2.284400e+00
-9.160000e-03,1.048533e+00,5.742667e-01,2.372400e+00
-9.140000e-03,1.152133e+00,5.832000e-01,2.437733e+00
-9.120000e-03,1.048533e+00,5.133333e-01,2.358800e+00
-9.100000e-03,1.282667e+00,5.968000e-01,2.426533e+00
-9.080000e-03,1.185867e+00,5.381333e-01,2.309200e+00
